                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4736,                0.91657,                 1.4618,                0.25771,                0.55101,                0.27805,                0.10722,                 2.3453,                 2.4115,                 2.2607,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4779,                 0.9306,                 1.4638,                0.27024,                0.54856,                0.28182,                0.11117,                 2.1374,                 2.3064,                 2.0741,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.4433,                0.89138,                 1.4543,                0.28237,                0.51976,                0.30911,                0.12114,                 2.2872,                 2.2766,                 2.2927,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3812,                0.83355,                 1.3934,                 0.2485,                0.56399,                0.28942,                0.12889,                 2.0653,                 2.2955,                 2.0349,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.4585,                0.84974,                 1.4428,                0.27159,                 0.5702,                0.30662,                0.13042,                 2.0765,                 2.4854,                 2.0072,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.4339,                0.89241,                  1.446,                0.30596,                0.63778,                0.32338,                0.11791,                 2.3162,                 2.3821,                 2.3077,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3879,                0.85895,                 1.4254,                0.19988,                0.97327,                0.27579,                0.11351,                 2.1439,                 2.6907,                 2.0928,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3752,                0.78864,                 1.3776,                0.18732,                0.98626,                0.27248,                0.10689,                 2.2369,                 2.8668,                 2.1772,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3635,                0.79082,                 1.3935,                0.23798,                0.98626,                0.32426,                0.12848,                 2.2266,                 2.5649,                 2.2657,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3848,                0.82021,                 1.4238,                0.22441,                 0.9393,                0.26116,                0.10316,                 2.2853,                 2.7725,                  2.201,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3664,                0.75707,                 1.4064,                0.26609,                0.59853,                0.26956,                0.09928,                 2.3403,                 2.5358,                 2.3055,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3647,                0.77225,                 1.3794,                0.24213,                0.55025,                0.25611,                0.11173,                 2.1821,                 2.7468,                 2.1323,             0.00069331,             0.00069331,             0.00069331
                     61,                  1.352,                0.81062,                 1.4107,                0.16385,                0.76548,                0.24448,                0.09414,                 2.2602,                 3.2555,                 2.2688,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3464,                0.79245,                 1.3875,                 0.2985,                0.53256,                  0.286,                0.11492,                  2.129,                 2.5715,                 2.0332,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3504,                0.77023,                 1.3894,                0.29878,                0.56399,                0.31127,                0.11049,                 2.2552,                 2.5396,                 2.1743,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3801,                0.77564,                 1.3879,                0.28493,                0.60597,                0.31483,                0.13829,                 2.1079,                 2.5001,                 2.0365,             0.00062729,             0.00062729,             0.00062729
